pop,slaves,tipo,tempo,speedup
10,1,control,33.95,1
10,1,data,33.55,1
10,2,control,22.4,1.51562
10,2,data,19,1.76579
10,3,control,23.3,1.45708
10,3,data,22.6,1.48451
10,4,control,22.45,1.51225
10,4,data,23.2,1.44612
10,5,control,27.45,1.23679
10,5,data,31.35,1.07018
10,6,control,34,0.998529
10,6,data,36.75,0.912925
10,7,control,38.85,0.873874
10,7,data,39.95,0.8398
10,8,control,44.1,0.769841
10,8,data,44.5,0.753933
10,9,control,49.25,0.68934
10,9,data,57.4,0.584495
10,10,control,61.15,0.555192
10,10,data,69.85,0.480315
10,11,control,68.4,0.496345
10,11,data,77.75,0.431511
100,1,control,245.25,1
100,1,data,246.8,1
100,2,control,115.4,2.12522
100,2,data,149.35,1.65249
100,3,control,100.1,2.45005
100,3,data,100.55,2.4545
100,4,control,97.3,2.52055
100,4,data,124.15,1.98792
100,5,control,87.45,2.80446
100,5,data,103.45,2.38569
100,6,control,82.25,2.98176
100,6,data,79.5,3.1044
100,7,control,76.75,3.19544
100,7,data,83.45,2.95746
100,8,control,81.45,3.01105
100,8,data,84.75,2.91209
100,9,control,83.8,2.92661
100,9,data,99.75,2.47419
100,10,control,91.15,2.69062
100,10,data,111.25,2.21843
100,11,control,113.05,2.16939
100,11,data,118,2.09153
1000,1,control,1905.55,1
1000,1,data,1986,1
1000,2,control,1074.2,1.77392
1000,2,data,1237.6,1.60472
1000,3,control,848.9,2.24473
1000,3,data,943.55,2.10482
1000,4,control,721.45,2.64128
1000,4,data,845.05,2.35016
1000,5,control,643.8,2.95985
1000,5,data,677.05,2.93331
1000,6,control,531.35,3.58624
1000,6,data,760.8,2.61041
1000,7,control,527.85,3.61002
1000,7,data,598.75,3.31691
1000,8,control,545.85,3.49098
1000,8,data,770.85,2.57638
1000,9,control,561.7,3.39247
1000,9,data,674.3,2.94528
1000,10,control,560.25,3.40125
1000,10,data,752.8,2.63815
1000,11,control,505.9,3.76665
1000,11,data,537.55,3.69454
10000,1,control,11270.4,1
10000,1,data,10479.6,1
10000,2,control,9277.2,1.21485
10000,2,data,11344,0.92381
10000,3,control,7610.85,1.48084
10000,3,data,8582.05,1.22111
10000,4,control,6533.55,1.72501
10000,4,data,7320.65,1.43152
10000,5,control,5851.7,1.92601
10000,5,data,6545.8,1.60097
10000,6,control,4516.6,2.49534
10000,6,data,5357.4,1.95611
10000,7,control,5225.8,2.15669
10000,7,data,6311.4,1.66043
10000,8,control,4739.8,2.37783
10000,8,data,5940.9,1.76398
10000,9,control,4993.75,2.25691
10000,9,data,5961.75,1.75781
10000,10,control,4546.6,2.47887
10000,10,data,5612.75,1.86712
10000,11,control,4440.65,2.53802
10000,11,data,5087.9,2.05972
